,comfort reward,energy reward
72,-2.7,-15.190693118982272
73,-2.7,-16.30443784156487
74,-2.7,-16.94921154249141
75,-2.7,-17.7536799058675
76,-2.7,-20.41944311387819
77,-2.7,-20.480894768161846
78,-2.7,-20.581226656702952
79,-2.7,-20.644031351851762
80,-2.7,-21.18613565957041
81,-2.7,-21.285093426402693
82,-2.7,-21.34396162088207
83,-2.7,-5.545970307185289
84,-0.0,-39.02178619032233
85,-0.0,-50.22020160951195
86,-0.0,-51.44897145736741
87,-0.0,-54.66724496123769
88,-0.0,-55.64042007640846
89,-0.0,-56.56961196027744
90,-0.0,-57.37472496921007
91,-0.0,-58.14059249961164
92,-0.0,-58.9452723030357
93,-0.0,-59.710275165445246
94,-0.0,-60.428064941606095
95,-0.0,-61.09915104433554
96,-0.0,-61.63472568028353
97,-0.0,-62.114692868802656
98,-0.0,-62.54820976670209
99,-0.0,-62.94089002311473
100,-0.0,-65.0618788448621
101,-0.0,-67.2226618129317
102,-0.0,-69.42938675634863
103,-0.0,-71.68132096878267
104,-0.0,-72.1352811365283
105,-0.0,-72.57786718050282
106,-0.0,-72.99652632048807
107,-0.0,-73.39041200802085
108,-0.0,-74.70607091317638
109,-0.0,-76.03509402670093
110,-0.0,-77.3664320086205
111,-0.0,-78.70160250655705
112,-0.0,-79.16513890578766
113,-0.0,-79.6084391528455
114,-0.0,-80.03896688234731
115,-0.0,-76.03961185109901
116,-0.0,-73.63909978285072
117,-0.0,-71.59880600093838
118,-0.0,-62.46893707676593
119,-0.0,-53.01682417280004
120,-0.0,-44.55778790995585
121,-0.0,-42.07717178200524
122,-0.0,-40.07538899828514
123,-0.0,-37.87603902047159
124,-0.0,-33.969558726927886
125,-0.0,-30.323041833884123
126,-0.0,-26.68773855872807
127,-0.0,-23.52237950290264
128,-2.7,-0.17812265053741524
129,-2.7,-0.19091972945681301
130,-2.7,-0.1926520696051441
131,-2.7,-0.2633047045090127
132,-2.8111540892553535,-0.529512217483544
133,-2.7,-4.973395789617871
134,-2.7,-4.783401388007556
135,-2.7,-4.777064629668289
136,-2.7,-4.666590980505964
137,-2.7,-4.582509746767458
138,-2.7,-4.516043928140853
139,-2.7,-0.514596588044029
140,-2.7,-4.380487075349311
141,-2.7,-4.338218875712127
142,-2.7,-4.301348109785129
143,-2.7,-4.322584966193713
144,-2.7,-3.5208504282538873
145,-2.7,-3.526666575021902
146,-2.7,-3.5563355572173485
147,-2.7,-3.583152677692718
