,comfort reward,energy reward
265,-2.8461405384881466,-0.1524868953414247
266,-2.7,-0.1524868953414246
267,-2.7,-0.1524868953414246
268,-2.7,-0.1524868953414246
269,-2.808823441042422,-0.1524868953414246
270,-3.2512512447441004,-0.1524868953414246
271,-3.63440316734129,-0.1524868953414246
272,-4.194818192639468,-0.1524868953414246
273,-4.899730209133519,-0.1524868953414246
274,-5.330093491632383,-0.1524868953414246
275,-4.51925105728939,-2.6354247620736366
276,-0.0,-22.53869297448243
277,-0.0,-31.12479753328112
278,-0.0,-1.5248689534142459
279,-0.0,-55.61192080891218
280,-0.0,-29.33985568902257
281,-0.0,-1.5248689534142459
282,-0.0,-66.59117080352014
283,-0.0,-1.5248689534142459
284,-0.0,-1.5248689534142459
285,-0.0,-25.438071515945797
286,-0.0,-1.5248689534142459
287,-0.0,-1.5248689534142459
288,-0.0,-1.5248689534142459
289,-0.0,-1.5248689534142459
290,-0.0,-123.96772377518701
291,-0.0,-1.5248689534142459
292,-0.0,-1.5248689534142459
293,-0.0,-1.5248689534142459
294,-0.0,-1.5966588219774058
295,-0.0,-1.7069427027187
296,-0.0,-138.4461618270251
297,-0.0,-1.629107964691592
298,-0.0,-1.7340003669841229
299,-0.0,-1.838022608331253
300,-0.0,-1.9918636440796
301,-0.0,-2.139974358512308
302,-0.0,-2.310444747713687
303,-0.0,-2.504163122202513
304,-0.0,-153.4368711724656
305,-0.0,-1.865588166877098
306,-0.0,-89.77889723290151
307,-0.0,-1.6507637354001639
308,-0.0,-126.2300372208993
309,-0.0,-1.538091545878311
310,-0.0,-1.587304314925979
311,-0.0,-120.1673433607575
312,-0.0,-83.30171964164276
313,-0.0,-67.9915001501971
314,-0.0,-1.5248689534142459
315,-0.0,-1.5248689534142459
316,-0.0,-1.5248689534142459
317,-0.0,-95.52374865777955
318,-0.0,-53.99678081083488
319,-0.0,-1.8135278434057809
320,-5.256786585153239,-0.2806183954154707
321,-4.530358990407275,-0.2362180765086986
322,-3.8476063742007427,-0.2028849928579133
323,-3.250023095183452,-0.17867860335400249
324,-2.7,-0.15838727399913488
325,-2.7,-0.2974200353561878
326,-2.7,-0.1524868953414246
327,-2.7,-0.1524868953414246
328,-2.7,-1.48617251712139
329,-2.7,-2.7619416289406145
330,-2.7,-0.3206975227655222
331,-2.7,-0.7547413167384582
332,-2.7,-3.774819395875719
333,-4.3383118052546275,-12.911976704274911
334,-3.5494582000817503,-3.609965700871412
335,-3.4653404264350876,-3.619920386899456
336,-3.699342170483582,-3.1875289874489794
337,-4.456588287333458,-5.244700762472701
