Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1)
14.0,100.0,4.1,114.0,0.0
14.0,100.0,3.85,114.5,0.0
14.0,100.0,3.6,115.0,0.0
14.25,98.5,3.85,115.5,0.0
14.5,97.0,4.1,116.0,0.0
14.75,95.5,4.35,129.25,0.0
15.0,94.0,4.6,142.5,0.0
15.25,91.0,4.475,155.75,11.0
15.5,88.0,4.35,169.0,11.0
15.75,85.0,4.225,179.25,11.0
16.0,82.0,4.1,189.5,11.0
16.25,80.75,4.1,199.75,11.0
16.5,79.5,4.1,210.0,11.0
16.75,78.25,4.1,214.75,11.0
17.0,77.0,4.1,219.5,11.0
17.5,73.75,3.975,224.25,11.0
18.0,70.5,3.85,229.0,11.0
18.5,67.25,3.725,214.25,11.0
19.0,64.0,3.6,199.5,11.0
19.25,62.0,4.1,184.75,8.8
19.5,60.0,4.6,170.0,8.8
19.75,58.0,5.1,171.0,8.8
20.0,56.0,5.6,172.0,8.8
20.25,54.25,5.475,173.0,4.4
20.5,52.5,5.35,174.0,4.4
20.75,50.75,5.225,166.0,4.4
21.0,49.0,5.1,158.0,4.4
21.0,47.5,4.449999999999999,150.0,8.8
21.0,46.0,3.8,142.0,8.8
21.0,44.5,3.15,141.25,8.8
21.0,43.0,2.5,140.5,8.8
21.25,43.0,2.625,139.75,11.0
21.5,43.0,2.75,139.0,11.0
21.75,43.0,2.875,172.25,11.0
22.0,43.0,3.0,205.5,11.0
22.25,42.5,2.875,238.75,11.0
22.5,42.0,2.75,272.0,11.0
22.75,41.5,2.625,245.25,11.0
23.0,41.0,2.5,218.5,11.0
22.5,41.5,2.5,191.75,11.0
22.0,42.0,2.5,165.0,11.0
21.5,42.5,2.5,143.25,11.0
21.0,43.0,2.5,121.5,11.0
21.0,43.0,2.775,99.75,11.0
21.0,43.0,3.05,78.0,11.0
21.0,43.0,3.325,68.5,11.0
21.0,43.0,3.6,59.0,11.0
20.75,43.0,3.725,49.5,5.5
20.5,43.0,3.85,40.0,5.5
20.25,43.0,3.975,31.75,5.5
20.0,43.0,4.1,23.5,5.5
19.5,45.25,4.225,15.25,1.1
19.0,47.5,4.35,7.0,1.1
18.5,49.75,4.475,0.0,1.1
18.0,52.0,4.6,0.0,1.1
17.75,53.75,4.85,0.0,1.1
17.5,55.5,5.1,0.0,1.1
17.25,57.25,5.35,0.0,1.1
17.0,59.0,5.6,0.0,1.1
16.75,59.0,5.725,0.0,0.0
16.5,59.0,5.85,0.0,0.0
16.25,59.0,5.975,0.0,0.0
16.0,59.0,6.1,0.0,0.0
15.5,61.0,5.85,0.0,0.0
15.0,63.0,5.6,0.0,0.0
14.5,65.0,5.35,0.0,0.0
